year,grupo,tipo_dato,Total
2023M11,Índice general,Índice,114.53
2023M10,Índice general,Índice,114.93
2023M09,Índice general,Índice,114.589
2023M08,Índice general,Índice,114.383
2023M07,Índice general,Índice,113.774
2023M06,Índice general,Índice,113.577
2023M05,Índice general,Índice,112.935
2023M04,Índice general,Índice,112.987
2023M03,Índice general,Índice,112.322
2023M02,Índice general,Índice,111.907
2023M01,Índice general,Índice,110.854
2022M12,Índice general,Índice,110.82
2022M11,Índice general,Índice,110.645
2022M10,Índice general,Índice,110.801
2022M09,Índice general,Índice,110.265
2022M08,Índice general,Índice,111.075
2022M07,Índice general,Índice,110.762
2022M06,Índice general,Índice,110.842
2022M05,Índice general,Índice,108.828
2022M04,Índice general,Índice,107.936
2022M03,Índice general,Índice,108.127
2022M02,Índice general,Índice,104.948
2022M01,Índice general,Índice,104.108
2021M12,Índice general,Índice,104.508
2021M11,Índice general,Índice,103.139
2021M10,Índice general,Índice,102.879
2021M09,Índice general,Índice,100.838
2021M08,Índice general,Índice,99.85
2021M07,Índice general,Índice,99.369
2021M06,Índice general,Índice,99.725
2021M05,Índice general,Índice,99.262
2021M04,Índice general,Índice,98.797
2021M03,Índice general,Índice,97.643
2021M02,Índice general,Índice,96.704
2021M01,Índice general,Índice,97.287
2020M12,Índice general,Índice,97.362
2020M11,Índice general,Índice,97.156
2020M10,Índice general,Índice,96.997
2020M09,Índice general,Índice,96.491
2020M08,Índice general,Índice,96.346
2020M07,Índice general,Índice,96.302
2020M06,Índice general,Índice,97.174
2020M05,Índice general,Índice,96.728
2020M04,Índice general,Índice,96.734
2020M03,Índice general,Índice,96.442
2020M02,Índice general,Índice,96.814
2020M01,Índice general,Índice,96.929
2019M12,Índice general,Índice,97.883
2019M11,Índice general,Índice,97.955
2019M10,Índice general,Índice,97.789
2019M09,Índice general,Índice,96.849
2019M08,Índice general,Índice,96.849
2019M07,Índice general,Índice,96.903
2019M06,Índice general,Índice,97.508
2019M05,Índice general,Índice,97.619
2019M04,Índice general,Índice,97.43
2019M03,Índice general,Índice,96.46
2019M02,Índice general,Índice,96.112
2019M01,Índice general,Índice,95.881
2018M12,Índice general,Índice,97.207
2018M11,Índice general,Índice,97.645
2018M10,Índice general,Índice,97.752
2018M09,Índice general,Índice,96.858
2018M08,Índice general,Índice,96.622
2018M07,Índice general,Índice,96.485
2018M06,Índice general,Índice,97.133
2018M05,Índice general,Índice,96.88
2018M04,Índice general,Índice,96.015
2018M03,Índice general,Índice,95.228
2018M02,Índice general,Índice,95.116
2018M01,Índice general,Índice,94.988
2017M12,Índice general,Índice,96.023
2017M11,Índice general,Índice,95.98
2017M10,Índice general,Índice,95.543
2017M09,Índice general,Índice,94.67
2017M08,Índice general,Índice,94.506
2017M07,Índice general,Índice,94.318
2017M06,Índice general,Índice,94.973
2017M05,Índice general,Índice,94.932
2017M04,Índice general,Índice,94.989
2017M03,Índice general,Índice,94.085
2017M02,Índice general,Índice,94.105
2017M01,Índice general,Índice,94.445
2016M12,Índice general,Índice,94.967
2016M11,Índice general,Índice,94.407
2016M10,Índice general,Índice,94.067
2016M09,Índice general,Índice,93.004
2016M08,Índice general,Índice,92.999
2016M07,Índice general,Índice,92.88
2016M06,Índice general,Índice,93.561
2016M05,Índice general,Índice,93.13
2016M04,Índice general,Índice,92.624
2016M03,Índice general,Índice,91.979
2016M02,Índice general,Índice,91.393
2016M01,Índice general,Índice,91.716
2015M12,Índice general,Índice,93.5
2015M11,Índice general,Índice,93.774
2015M10,Índice general,Índice,93.432
2015M09,Índice general,Índice,92.838
2015M08,Índice general,Índice,93.124
2015M07,Índice general,Índice,93.435
2015M06,Índice general,Índice,94.31
2015M05,Índice general,Índice,94.059
2015M04,Índice general,Índice,93.612
2015M03,Índice general,Índice,92.759
2015M02,Índice general,Índice,92.171
2015M01,Índice general,Índice,91.982
2014M12,Índice general,Índice,93.468
2014M11,Índice general,Índice,94.017
2014M10,Índice general,Índice,94.082
2014M09,Índice general,Índice,93.645
2014M08,Índice general,Índice,93.503
2014M07,Índice general,Índice,93.356
2014M06,Índice general,Índice,94.242
2014M05,Índice general,Índice,94.216
2014M04,Índice general,Índice,94.194
2014M03,Índice general,Índice,93.363
2014M02,Índice general,Índice,93.155
2014M01,Índice general,Índice,93.196
2013M12,Índice general,Índice,94.453
2013M11,Índice general,Índice,94.368
2013M10,Índice general,Índice,94.168
2013M09,Índice general,Índice,93.787
2013M08,Índice general,Índice,93.963
2013M07,Índice general,Índice,93.668
2013M06,Índice general,Índice,94.176
