year,country,PIB_pc,iso_2_code
2000,Albania,1700,AL
2000,Austria,31710,AT
2000,Belgium,29890,BE
2000,Bulgaria,2990,BG
2000,Switzerland,51950,CH
2000,Cyprus,20130,CY
2000,Czechia,11230,CZ
2000,Germany,28910,DE
2000,Denmark,42190,DK
2000,Euro area - 19 countries  (2015-2022),26490,EA19
2000,Euro area – 20 countries (from 2023),26240,EA20
2000,Estonia,7540,EE
2000,Greece,17430,GR
2000,Spain,21460,ES
2000,European Union - 27 countries (from 2020),22450,EU27_2020
2000,European Union - 28 countries (2013-2020),22990,EU28
2000,Finland,30510,FI
2000,France,28930,FR
2000,Croatia,7940,HR
2000,Hungary,7910,HU
2000,Ireland,33280,IE
2000,Iceland,28570,IS
2000,Italy,27430,IT
2000,Lithuania,5230,LT
2000,Luxembourg,72640,LU
2000,Latvia,5250,LV
2000,North Macedonia,2620,MK
2000,Malta,13750,MT
2000,Netherlands,35060,NL
2000,Norway,62040,NO
2000,Poland,6450,PL
2000,Portugal,16230,PT
2000,Romania,3780,RO
2000,Serbia,2650,RS
2000,Sweden,33960,SE
2000,Slovenia,13980,SI
2000,Slovakia,7780,SK
2000,Türkiye,6130,TR
2000,United Kingdom,27130,GB
2001,Albania,1850,AL
2001,Austria,31990,AT
2001,Belgium,30120,BE
2001,Bulgaria,3210,BG
2001,Switzerland,52510,CH
2001,Cyprus,20700,CY
2001,Czechia,11620,CZ
2001,Germany,29370,DE
2001,Denmark,42390,DK
2001,Euro area - 19 countries  (2015-2022),26980,EA19
2001,Euro area – 20 countries (from 2023),26740,EA20
2001,Estonia,8040,EE
2001,Greece,18050,GR
2001,Spain,22190,ES
2001,European Union - 27 countries (from 2020),22900,EU27_2020
2001,European Union - 28 countries (2013-2020),23470,EU28
2001,Finland,31230,FI
2001,France,29290,FR
2001,Croatia,8510,HR
2001,Hungary,8250,HU
2001,Ireland,34510,IE
2001,Iceland,29310,IS
2001,Italy,27950,IT
2001,Lithuania,5620,LT
2001,Luxembourg,73990,LU
2001,Latvia,5650,LV
2001,North Macedonia,2530,MK
2001,Malta,13480,MT
2001,Netherlands,35610,NL
2001,Norway,63000,NO
2001,Poland,6530,PL
2001,Portugal,16430,PT
2001,Romania,3980,RO
2001,Serbia,2840,RS
2001,Sweden,34360,SE
2001,Slovenia,14410,SI
2001,Slovakia,8060,SK
2001,Türkiye,5700,TR
2001,United Kingdom,27770,GB
2002,Albania,1940,AL
2002,Austria,32360,AT
2002,Belgium,30490,BE
2002,Bulgaria,3420,BG
2002,Switzerland,52100,CH
2002,Cyprus,21230,CY
2002,Czechia,11830,CZ
2002,Germany,29290,DE
2002,Denmark,42430,DK
2002,Euro area - 19 countries  (2015-2022),27090,EA19
2002,Euro area – 20 countries (from 2023),26850,EA20
2002,Estonia,8640,EE
2002,Greece,18690,GR
2002,Spain,22430,ES
2002,European Union - 27 countries (from 2020),23100,EU27_2020
2002,European Union - 28 countries (2013-2020),23710,EU28
2002,Finland,31690,FI
2002,France,29410,FR
2002,Croatia,8990,HR
2002,Hungary,8670,HU
2002,Ireland,35910,IE
2002,Iceland,29220,IS
2002,Italy,27960,IT
2002,Lithuania,6050,LT
2002,Luxembourg,75580,LU
2002,Latvia,6120,LV
2002,North Macedonia,2580,MK
2002,Malta,13730,MT
2002,Netherlands,35460,NL
2002,Norway,63530,NO
2002,Poland,6660,PL
2002,Portugal,16470,PT
2002,Romania,4350,RO
2002,Serbia,3020,RS
2002,Sweden,35000,SE
2002,Slovenia,14900,SI
2002,Slovakia,8430,SK
2002,Türkiye,5990,TR
2002,United Kingdom,28250,GB
2003,Albania,2060,AL
2003,Austria,32520,AT
2003,Belgium,30680,BE
2003,Bulgaria,3620,BG
2003,Switzerland,51700,CH
2003,Cyprus,21520,CY
2003,Czechia,12260,CZ
2003,Germany,29100,DE
2003,Denmark,42490,DK
2003,Euro area - 19 countries  (2015-2022),27120,EA19
2003,Euro area – 20 countries (from 2023),26890,EA20
2003,Estonia,9350,EE
2003,Greece,19730,GR
2003,Spain,22680,ES
2003,European Union - 27 countries (from 2020),23210,EU27_2020
2003,European Union - 28 countries (2013-2020),23930,EU28
2003,Finland,32250,FI
2003,France,29440,FR
2003,Croatia,9500,HR
2003,Hungary,9050,HU
2003,Ireland,36390,IE
2003,Iceland,29670,IS
2003,Italy,27850,IT
2003,Lithuania,6740,LT
2003,Luxembourg,76620,LU
2003,Latvia,6700,LV
2003,North Macedonia,2630,MK
2003,Malta,14200,MT
2003,Netherlands,35350,NL
2003,Norway,63750,NO
2003,Poland,6900,PL
2003,Portugal,16250,PT
2003,Romania,4470,RO
2003,Serbia,3160,RS
2003,Sweden,35680,SE
2003,Slovenia,15330,SI
2003,Slovakia,8890,SK
2003,Türkiye,6260,TR
2003,United Kingdom,29060,GB
2004,Albania,2180,AL
2004,Austria,33200,AT
2004,Belgium,31640,BE
2004,Bulgaria,3870,BG
2004,Switzerland,52750,CH
2004,Cyprus,22300,CY
2004,Czechia,12840,CZ
2004,Germany,29470,DE
2004,Denmark,43520,DK
2004,Euro area - 19 countries  (2015-2022),27590,EA19
2004,Euro area – 20 countries (from 2023),27360,EA20
2004,Estonia,10050,EE
2004,Greece,20670,GR
2004,Spain,23020,ES
2004,European Union - 27 countries (from 2020),23710,EU27_2020
2004,European Union - 28 countries (2013-2020),24430,EU28
2004,Finland,33440,FI
2004,France,30050,FR
2004,Croatia,9890,HR
2004,Hungary,9520,HU
2004,Ireland,38190,IE
2004,Iceland,31620,IS
2004,Italy,28040,IT
2004,Lithuania,7270,LT
2004,Luxembourg,78730,LU
2004,Latvia,7340,LV
2004,North Macedonia,2750,MK
2004,Malta,14120,MT
2004,Netherlands,35920,NL
2004,Norway,65920,NO
2004,Poland,7250,PL
2004,Portugal,16500,PT
2004,Romania,4970,RO
2004,Serbia,3460,RS
2004,Sweden,37080,SE
2004,Slovenia,15990,SI
2004,Slovakia,9360,SK
2004,Türkiye,6790,TR
2004,United Kingdom,29560,GB
2005,Albania,2310,AL
2005,Austria,33710,AT
2005,Belgium,32200,BE
2005,Bulgaria,4170,BG
2005,Switzerland,53880,CH
2005,Cyprus,23050,CY
2005,Czechia,13650,CZ
2005,Germany,29730,DE
2005,Denmark,44400,DK
2005,Euro area - 19 countries  (2015-2022),27900,EA19
2005,Euro area – 20 countries (from 2023),27670,EA20
2005,Estonia,11070,EE
2005,Greece,20740,GR
2005,Spain,23420,ES
2005,European Union - 27 countries (from 2020),24070,EU27_2020
2005,European Union - 28 countries (2013-2020),24830,EU28
2005,Finland,34250,FI
2005,France,30320,FR
2005,Croatia,10310,HR
2005,Hungary,9950,HU
2005,Ireland,39480,IE
2005,Iceland,33190,IS
2005,Italy,28100,IT
2005,Lithuania,7960,LT
2005,Luxembourg,79460,LU
2005,Latvia,8210,LV
2005,North Macedonia,2870,MK
2005,Malta,14510,MT
