"","Sexo","Edad","Tipo de jornada","Tipo de dato","Periodo","Total"
"1","Ambos sexos","Total","Total","Valor absoluto",2022,"20.390,6"
"2","Ambos sexos","Total","Total","Valor absoluto",2021,"19.773,6"
"3","Ambos sexos","Total","Total","Valor absoluto",2020,"19.202,4"
"4","Ambos sexos","Total","Total","Valor absoluto",2019,"19.779,3"
"5","Ambos sexos","Total","Total","Valor absoluto",2018,"19.327,7"
"6","Ambos sexos","Total","Total","Valor absoluto",2017,"18.824,8"
"7","Ambos sexos","Total","Total","Valor absoluto",2016,"18.341,5"
"8","Ambos sexos","Total","Total","Valor absoluto",2015,"17.866"
"9","Ambos sexos","Total","Total","Valor absoluto",2014,"17.344,2"
"10","Ambos sexos","Total","Total","Valor absoluto",2013,"17.139"
"11","Ambos sexos","Total","Total","Valor absoluto",2012,"17.632,7"
"12","Ambos sexos","Total","Total","Valor absoluto",2011,"18.421,4"
"13","Ambos sexos","Total","Total","Valor absoluto",2010,"18.724,5"
"14","Ambos sexos","Total","Total","Valor absoluto",2009,"19.106,9"
"15","Ambos sexos","Total","Total","Valor absoluto",2008,"20.469,7"
"16","Ambos sexos","Total","Total","Valor absoluto",2007,"20.579,9"
"17","Ambos sexos","Total","Total","Valor absoluto",2006,"19.939,1"
"18","Ambos sexos","Total","Total","Porcentaje",2022,"100"
"19","Ambos sexos","Total","Total","Porcentaje",2021,"100"
"20","Ambos sexos","Total","Total","Porcentaje",2020,"100"
"21","Ambos sexos","Total","Total","Porcentaje",2019,"100"
"22","Ambos sexos","Total","Total","Porcentaje",2018,"100"
"23","Ambos sexos","Total","Total","Porcentaje",2017,"100"
"24","Ambos sexos","Total","Total","Porcentaje",2016,"100"
"25","Ambos sexos","Total","Total","Porcentaje",2015,"100"
"26","Ambos sexos","Total","Total","Porcentaje",2014,"100"
"27","Ambos sexos","Total","Total","Porcentaje",2013,"100"
"28","Ambos sexos","Total","Total","Porcentaje",2012,"100"
"29","Ambos sexos","Total","Total","Porcentaje",2011,"100"
"30","Ambos sexos","Total","Total","Porcentaje",2010,"100"
"31","Ambos sexos","Total","Total","Porcentaje",2009,"100"
"32","Ambos sexos","Total","Total","Porcentaje",2008,"100"
"33","Ambos sexos","Total","Total","Porcentaje",2007,"100"
"34","Ambos sexos","Total","Total","Porcentaje",2006,"100"
"35","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2022,"17.632,8"
"36","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2021,"17.031,9"
"37","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2020,"16.505,3"
"38","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2019,"16.882,7"
"39","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2018,"16.497"
"40","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2017,"16.005,9"
"41","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2016,"15.551,1"
"42","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2015,"15.053,8"
"43","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2014,"14.585,4"
"44","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2013,"14.431,7"
"45","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2012,"15.078"
"46","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2011,"15.923,3"
"47","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2010,"16.286,3"
"48","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2009,"16.710,2"
"49","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2008,"18.063,7"
"50","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2007,"18.195,4"
"51","Ambos sexos","Total","Jornada a tiempo completo","Valor absoluto",2006,"17.589,3"
"52","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2022,"86,5"
"53","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2021,"86,1"
"54","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2020,"86"
"55","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2019,"85,4"
"56","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2018,"85,4"
"57","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2017,"85"
"58","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2016,"84,8"
"59","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2015,"84,3"
"60","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2014,"84,1"
"61","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2013,"84,2"
"62","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2012,"85,5"
"63","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2011,"86,4"
"64","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2010,"87"
"65","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2009,"87,5"
"66","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2008,"88,2"
"67","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2007,"88,4"
"68","Ambos sexos","Total","Jornada a tiempo completo","Porcentaje",2006,"88,2"
"69","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2022,"2.757,8"
"70","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2021,"2.741,6"
"71","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2020,"2.697,1"
"72","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2019,"2.896,6"
"73","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2018,"2.830,7"
"74","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2017,"2.818,9"
"75","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2016,"2.790,5"
"76","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2015,"2.812,2"
"77","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2014,"2.758,7"
"78","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2013,"2.707,3"
"79","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2012,"2.554,7"
"80","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2011,"2.498,1"
"81","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2010,"2.438,2"
"82","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2009,"2.396,7"
"83","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2008,"2.406"
"84","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2007,"2.384,6"
"85","Ambos sexos","Total","Jornada a tiempo parcial","Valor absoluto",2006,"2.349,8"
"86","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2022,"13,5"
"87","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2021,"13,9"
"88","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2020,"14"
"89","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2019,"14,6"
"90","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2018,"14,6"
"91","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2017,"15"
"92","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2016,"15,2"
"93","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2015,"15,7"
"94","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2014,"15,9"
"95","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2013,"15,8"
"96","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2012,"14,5"
"97","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2011,"13,6"
"98","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2010,"13"
"99","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2009,"12,5"
"100","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2008,"11,8"
"101","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2007,"11,6"
"102","Ambos sexos","Total","Jornada a tiempo parcial","Porcentaje",2006,"11,8"
"103","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2022,"157,3"
"104","Ambos sexos","De 16 a 19 años","Total","Valor absoluto",2021,"126,3"
