Edad,Sexo,Unidad,Periodo,Total
Total,Ambos sexos,Valor absoluto,2023T3,"2.855,2"
Total,Ambos sexos,Valor absoluto,2023T2,"2.762,5"
Total,Ambos sexos,Valor absoluto,2023T1,"3.127,8"
Total,Ambos sexos,Valor absoluto,2022T4,"3.024,0"
Total,Ambos sexos,Valor absoluto,2022T3,"2.980,2"
Total,Ambos sexos,Valor absoluto,2022T2,"2.919,4"
Total,Ambos sexos,Valor absoluto,2022T1,"3.174,7"
Total,Ambos sexos,Valor absoluto,2021T4,"3.103,8"
Total,Ambos sexos,Valor absoluto,2021T3,"3.416,7"
Total,Ambos sexos,Valor absoluto,2021T2,"3.543,8"
Total,Ambos sexos,Valor absoluto,2021T1,"3.653,9"
Total,Ambos sexos,Valor absoluto,2020T4,"3.719,8"
Total,Ambos sexos,Valor absoluto,2020T3,"3.722,9"
Total,Ambos sexos,Valor absoluto,2020T2,"3.368,0"
Total,Ambos sexos,Valor absoluto,2020T1,"3.313,0"
Total,Ambos sexos,Valor absoluto,2019T4,"3.191,9"
Total,Ambos sexos,Valor absoluto,2019T3,"3.214,4"
Total,Ambos sexos,Valor absoluto,2019T2,"3.230,6"
Total,Ambos sexos,Valor absoluto,2019T1,"3.354,2"
Total,Ambos sexos,Valor absoluto,2018T4,"3.304,3"
Total,Ambos sexos,Valor absoluto,2018T3,"3.326,0"
Total,Ambos sexos,Valor absoluto,2018T2,"3.490,1"
Total,Ambos sexos,Valor absoluto,2018T1,"3.796,1"
Total,Ambos sexos,Valor absoluto,2017T4,"3.766,7"
Total,Ambos sexos,Valor absoluto,2017T3,"3.731,7"
Total,Ambos sexos,Valor absoluto,2017T2,"3.914,3"
Total,Ambos sexos,Valor absoluto,2017T1,"4.255,0"
Total,Ambos sexos,Valor absoluto,2016T4,"4.237,8"
Total,Ambos sexos,Valor absoluto,2016T3,"4.320,8"
Total,Ambos sexos,Valor absoluto,2016T2,"4.574,7"
Total,Ambos sexos,Valor absoluto,2016T1,"4.791,4"
Total,Ambos sexos,Valor absoluto,2015T4,"4.779,5"
Total,Ambos sexos,Valor absoluto,2015T3,"4.850,8"
Total,Ambos sexos,Valor absoluto,2015T2,"5.149,0"
Total,Ambos sexos,Valor absoluto,2015T1,"5.444,6"
Total,Ambos sexos,Valor absoluto,2014T4,"5.457,7"
Total,Ambos sexos,Valor absoluto,2014T3,"5.427,7"
Total,Ambos sexos,Valor absoluto,2014T2,"5.622,9"
Total,Ambos sexos,Valor absoluto,2014T1,"5.933,3"
Total,Ambos sexos,Valor absoluto,2013T4,"5.935,6"
Total,Ambos sexos,Valor absoluto,2013T3,"5.943,4"
Total,Ambos sexos,Valor absoluto,2013T2,"6.047,3"
Total,Ambos sexos,Valor absoluto,2013T1,"6.278,2"
Total,Ambos sexos,Valor absoluto,2012T4,"6.021,0"
Total,Ambos sexos,Valor absoluto,2012T3,"5.824,2"
Total,Ambos sexos,Valor absoluto,2012T2,"5.731,0"
Total,Ambos sexos,Valor absoluto,2012T1,"5.667,9"
Total,Ambos sexos,Valor absoluto,2011T4,"5.287,3"
Total,Ambos sexos,Valor absoluto,2011T3,"4.998,0"
Total,Ambos sexos,Valor absoluto,2011T2,"4.844,2"
Total,Ambos sexos,Valor absoluto,2011T1,"4.921,2"
Total,Ambos sexos,Valor absoluto,2010T4,"4.702,2"
Total,Ambos sexos,Valor absoluto,2010T3,"4.585,4"
Total,Ambos sexos,Valor absoluto,2010T2,"4.655,3"
Total,Ambos sexos,Valor absoluto,2010T1,"4.617,7"
Total,Ambos sexos,Valor absoluto,2009T4,"4.335,0"
Total,Ambos sexos,Valor absoluto,2009T3,"4.121,4"
Total,Ambos sexos,Valor absoluto,2009T2,"4.139,6"
Total,Ambos sexos,Valor absoluto,2009T1,"4.018,2"
Total,Ambos sexos,Valor absoluto,2008T4,"3.206,8"
Total,Ambos sexos,Valor absoluto,2008T3,"2.600,7"
Total,Ambos sexos,Valor absoluto,2008T2,"2.385,7"
Total,Ambos sexos,Valor absoluto,2008T1,"2.190,5"
Total,Ambos sexos,Valor absoluto,2007T4,"1.942,0"
Total,Ambos sexos,Valor absoluto,2007T3,"1.806,2"
Total,Ambos sexos,Valor absoluto,2007T2,"1.773,2"
Total,Ambos sexos,Valor absoluto,2007T1,"1.863,2"
Total,Ambos sexos,Valor absoluto,2006T4,"1.819,4"
Total,Ambos sexos,Valor absoluto,2006T3,"1.766,9"
Total,Ambos sexos,Valor absoluto,2006T2,"1.834,4"
Total,Ambos sexos,Valor absoluto,2006T1,"1.942,8"
Total,Ambos sexos,Valor absoluto,2005T4,"1.860,3"
Total,Ambos sexos,Valor absoluto,2005T3,"1.783,5"
Total,Ambos sexos,Valor absoluto,2005T2,"1.969,1"
Total,Ambos sexos,Valor absoluto,2005T1,"2.121,3"
Total,Ambos sexos,Valor absoluto,2004T4,"2.176,9"
Total,Ambos sexos,Valor absoluto,2004T3,"2.199,8"
