"","Sexo","Grupos de edad","Periodo","Total"
"1","Hombres","De 16 a 19 años",2022,"44,6"
"2","Hombres","De 16 a 19 años",2021,"45,6"
"3","Hombres","De 16 a 19 años",2020,"47,9"
"4","Hombres","De 16 a 19 años",2019,"43,3"
"5","Hombres","De 16 a 19 años",2018,"41,5"
"6","Hombres","De 16 a 19 años",2017,"39,5"
"7","Hombres","De 16 a 19 años",2016,"44"
"8","Hombres","De 16 a 19 años",2015,"46,9"
"9","Hombres","De 16 a 19 años",2014,"47,9"
"10","Hombres","De 16 a 19 años",2013,"45,1"
"11","Hombres","De 16 a 19 años",2012,"39,6"
"12","Hombres","De 16 a 19 años",2011,"40,8"
"13","Hombres","De 16 a 19 años",2010,"33,7"
"14","Hombres","De 16 a 19 años",2009,"28,8"
"15","Hombres","De 20 a 24 años",2022,"26,6"
"16","Hombres","De 20 a 24 años",2021,"26,1"
"17","Hombres","De 20 a 24 años",2020,"26,9"
"18","Hombres","De 20 a 24 años",2019,"25,4"
"19","Hombres","De 20 a 24 años",2018,"27,6"
"20","Hombres","De 20 a 24 años",2017,"27,9"
"21","Hombres","De 20 a 24 años",2016,"30,2"
"22","Hombres","De 20 a 24 años",2015,"28,1"
"23","Hombres","De 20 a 24 años",2014,"28,5"
"24","Hombres","De 20 a 24 años",2013,"31,6"
"25","Hombres","De 20 a 24 años",2012,"25"
"26","Hombres","De 20 a 24 años",2011,"22,1"
"27","Hombres","De 20 a 24 años",2010,"19,3"
"28","Hombres","De 20 a 24 años",2009,"15,6"
"29","Hombres","De 25 a 29 años",2022,"12,7"
"30","Hombres","De 25 a 29 años",2021,"12,7"
"31","Hombres","De 25 a 29 años",2020,"12,6"
"32","Hombres","De 25 a 29 años",2019,"13,2"
"33","Hombres","De 25 a 29 años",2018,"13,3"
"34","Hombres","De 25 a 29 años",2017,"15,6"
"35","Hombres","De 25 a 29 años",2016,"16,4"
"36","Hombres","De 25 a 29 años",2015,"16,3"
"37","Hombres","De 25 a 29 años",2014,"16,2"
"38","Hombres","De 25 a 29 años",2013,"15,3"
"39","Hombres","De 25 a 29 años",2012,"12,9"
"40","Hombres","De 25 a 29 años",2011,"10,5"
"41","Hombres","De 25 a 29 años",2010,"9,1"
"42","Hombres","De 25 a 29 años",2009,"7,7"
"43","Hombres","De 30 a 34 años",2022,"6,6"
"44","Hombres","De 30 a 34 años",2021,"7"
"45","Hombres","De 30 a 34 años",2020,"7,6"
"46","Hombres","De 30 a 34 años",2019,"8"
"47","Hombres","De 30 a 34 años",2018,"7,3"
"48","Hombres","De 30 a 34 años",2017,"7,4"
"49","Hombres","De 30 a 34 años",2016,"8,6"
"50","Hombres","De 30 a 34 años",2015,"9,3"
"51","Hombres","De 30 a 34 años",2014,"9,2"
"52","Hombres","De 30 a 34 años",2013,"7,8"
"53","Hombres","De 30 a 34 años",2012,"6"
"54","Hombres","De 30 a 34 años",2011,"5,8"
"55","Hombres","De 30 a 34 años",2010,"4,5"
"56","Hombres","De 30 a 34 años",2009,"4"
"57","Hombres","De 35 a 39 años",2022,"5,1"
"58","Hombres","De 35 a 39 años",2021,"5,1"
"59","Hombres","De 35 a 39 años",2020,"5,1"
"60","Hombres","De 35 a 39 años",2019,"5,2"
"61","Hombres","De 35 a 39 años",2018,"5,2"
"62","Hombres","De 35 a 39 años",2017,"5,9"
"63","Hombres","De 35 a 39 años",2016,"5,9"
"64","Hombres","De 35 a 39 años",2015,"6,6"
"65","Hombres","De 35 a 39 años",2014,"6"
"66","Hombres","De 35 a 39 años",2013,"6,5"
"67","Hombres","De 35 a 39 años",2012,"5,2"
"68","Hombres","De 35 a 39 años",2011,"4,7"
"69","Hombres","De 35 a 39 años",2010,"3,6"
"70","Hombres","De 35 a 39 años",2009,"3,2"
"71","Hombres","De 40 a 44 años",2022,"3,7"
"72","Hombres","De 40 a 44 años",2021,"4,1"
"73","Hombres","De 40 a 44 años",2020,"4,2"
"74","Hombres","De 40 a 44 años",2019,"4,4"
"75","Hombres","De 40 a 44 años",2018,"4,4"
"76","Hombres","De 40 a 44 años",2017,"4,8"
"77","Hombres","De 40 a 44 años",2016,"5,4"
"78","Hombres","De 40 a 44 años",2015,"5,5"
"79","Hombres","De 40 a 44 años",2014,"5,4"
"80","Hombres","De 40 a 44 años",2013,"5,4"
"81","Hombres","De 40 a 44 años",2012,"4,6"
"82","Hombres","De 40 a 44 años",2011,"3,5"
"83","Hombres","De 40 a 44 años",2010,"3,1"
"84","Hombres","De 40 a 44 años",2009,"2,5"
"85","Hombres","De 45 a 49 años",2022,"3,3"
"86","Hombres","De 45 a 49 años",2021,"3,4"
"87","Hombres","De 45 a 49 años",2020,"4,3"
"88","Hombres","De 45 a 49 años",2019,"4,4"
"89","Hombres","De 45 a 49 años",2018,"4,4"
"90","Hombres","De 45 a 49 años",2017,"4,4"
"91","Hombres","De 45 a 49 años",2016,"4,6"
"92","Hombres","De 45 a 49 años",2015,"4,9"
"93","Hombres","De 45 a 49 años",2014,"4,6"
"94","Hombres","De 45 a 49 años",2013,"5"
"95","Hombres","De 45 a 49 años",2012,"3,8"
"96","Hombres","De 45 a 49 años",2011,"2,9"
"97","Hombres","De 45 a 49 años",2010,"2,9"
"98","Hombres","De 45 a 49 años",2009,"2,6"
"99","Hombres","De 50 a 54 años",2022,"3,4"
"100","Hombres","De 50 a 54 años",2021,"3,4"
"101","Hombres","De 50 a 54 años",2020,"3,5"
"102","Hombres","De 50 a 54 años",2019,"3,8"
"103","Hombres","De 50 a 54 años",2018,"3,7"
"104","Hombres","De 50 a 54 años",2017,"4,2"
"105","Hombres","De 50 a 54 años",2016,"4,7"
"106","Hombres","De 50 a 54 años",2015,"4,1"
"107","Hombres","De 50 a 54 años",2014,"4,3"
"108","Hombres","De 50 a 54 años",2013,"3,8"
"109","Hombres","De 50 a 54 años",2012,"3,4"
"110","Hombres","De 50 a 54 años",2011,"2,8"
"111","Hombres","De 50 a 54 años",2010,"2,6"
"112","Hombres","De 50 a 54 años",2009,"2,6"
"113","Hombres","De 55 a 59 años",2022,"3,4"
"114","Hombres","De 55 a 59 años",2021,"3,6"
"115","Hombres","De 55 a 59 años",2020,"3,7"
"116","Hombres","De 55 a 59 años",2019,"2,9"
"117","Hombres","De 55 a 59 años",2018,"3,3"
"118","Hombres","De 55 a 59 años",2017,"3,8"
"119","Hombres","De 55 a 59 años",2016,"3,8"
"120","Hombres","De 55 a 59 años",2015,"4,5"
"121","Hombres","De 55 a 59 años",2014,"3,8"
"122","Hombres","De 55 a 59 años",2013,"4,1"
"123","Hombres","De 55 a 59 años",2012,"3,1"
"124","Hombres","De 55 a 59 años",2011,"2,9"
"125","Hombres","De 55 a 59 años",2010,"2,6"
"126","Hombres","De 55 a 59 años",2009,"2,5"
"127","Hombres","De 60 a 64 años",2022,"4,2"
"128","Hombres","De 60 a 64 años",2021,"4,8"
"129","Hombres","De 60 a 64 años",2020,"4,8"
"130","Hombres","De 60 a 64 años",2019,"5,7"
"131","Hombres","De 60 a 64 años",2018,"4,7"
"132","Hombres","De 60 a 64 años",2017,"5,8"
"133","Hombres","De 60 a 64 años",2016,"5,6"
"134","Hombres","De 60 a 64 años",2015,"6,1"
"135","Hombres","De 60 a 64 años",2014,"6,3"
"136","Hombres","De 60 a 64 años",2013,"7,3"
"137","Hombres","De 60 a 64 años",2012,"7,4"
"138","Hombres","De 60 a 64 años",2011,"6,7"
"139","Hombres","De 60 a 64 años",2010,"6,1"
"140","Hombres","De 60 a 64 años",2009,"5,9"
"141","Hombres","De 65 a 69 años",2022,"15,4"
