"","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69","...70","...71","...72","...73","...74","...75","...76","...77","...78","...79","...80","...81","...82","...83"
"1",NA,"Año 2009",NA,NA,NA,"Año 2010",NA,NA,NA,"Año 2011",NA,NA,NA,"Año 2012",NA,NA,NA,"Año 2013",NA,NA,NA,NA,"Año 2014",NA,NA,NA,"Año 2015",NA,NA,NA,"Año 2016",NA,NA,NA,"Año 2017",NA,NA,NA,"Año 2018",NA,NA,NA,NA,"Año 2019",NA,NA,NA,"Año 2020",NA,NA,NA,"Año 2021",NA,NA,NA,"Año 2022",NA,NA,NA,"Año 2023",NA,NA,NA,"Año 2004",NA,NA,NA,"Año 2005",NA,NA,NA,"Año 2006",NA,NA,NA,"Año 2007",NA,NA,NA,"Año 2008",NA,NA,NA
"2",NA,"1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º",NA,"1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º",NA,"1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º (**)",NA,"1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º","1º","2º","3º","4º"
"3","TOTAL NACIONAL","104703","119938","107534","131544","107079","153164","80550","150494","74455","90756","76534","107373","69420","84289","75313","134601","54835","81472","70604","93657","TOTAL NACIONAL","81516","91769","80388","111948","85605","107043","94035","115030","103592","123438","104143","126565","124756","143761","119162","144582","135438","161374","131800","154276","TOTAL NACIONAL","138374","149600","123687","158332","116029","78918","132113","160294","141851","177997","161300","193101","175383","199578","168793","173980","158006","170564","142014","TOTAL NACIONAL","190442","223895","201089","232964","196438","241398","216333","247405","233669","251649","221610","248258","230755","227562","186504","192050","159088","157008","122949","125419"
"4","Andalucía","21265","23501","20226","24440","19388","27367","15081","27217","15151","17585","14772","19758","14211","16308","14731","25853","11156","15889","14817","16910","Andalucía","15722","18266","15698","20333","16613","20873","18037","21220","19231","22847","18914","22516","22241","26292","21660","26247","25351","31273","25347","28454","Andalucía","26701","28752","23781","30041","22461","15435","25418","30225","27009","35641","32231","39376","34585","39821","33697","34029","31247","33359","28329","Andalucía","34597","40321","33921","38726","33304","40656","36797","41718","38813","44325","41390","43529","47449","45928","38213","39807","32771","31889","25429","25394"
"5","Almería","2112","2768","2485","2603","1840","3002","1684","2759","1634","1854","1575","1888","1442","1736","1725","2879","1446","1815","1905","1716","Almería","1723","1879","1552","1883","1623","2005","1846","2123","1809","2282","2081","2224","2089","2859","2195","2609","2596","3277","2876","2930","Almería","2820","3193","2675","3320","2317","1605","2894","3251","2780","3971","3771","4077","3606","4375","4092","3801","3450","4123","3348","Almería","4391","5545","4643","4782","4287","5746","5648","6201","5710","6439","6369","6812","5660","5773","4713","4453","3448","3388","3365","2781"
"6","Cádiz","2805","2968","2756","3256","2550","3614","2075","3542","1996","2187","1879","2675","1797","2106","1827","2885","1286","1795","1694","2016","Cádiz","1950","2109","1818","2404","1948","3036","2253","2803","2734","2838","2480","2802","2791","3169","2774","3460","3153","3992","3431","3828","Cádiz","3645","3721","3324","4207","3049","2115","3307","4062","3671","5196","4329","5158","4394","5067","4338","4666","4017","4301","3467","Cádiz","4944","5756","5051","5314","5477","6602","5607","6661","6185","6476","6052","5855","6535","6874","5654","5351","4506","4150","3180","3196"
"7","Córdoba","1454","1703","1303","1887","1297","1947","995","2026","979","1192","1045","1374","834","1098","1125","1839","658","1008","859","1111","Córdoba","930","1079","927","1311","1039","1225","1116","1386","1316","1372","1081","1478","1420","1727","1319","1736","1659","2065","1535","1807","Córdoba","1786","2013","1680","1836","1478","1145","2002","2222","1977","2494","2136","2515","2338","2447","2138","2362","2379","2355","1924","Córdoba","2647","3103","2414","2921","2164","2363","2180","2636","2399","2868","2858","3343","3298","3359","2516","2758","2143","2500","2044","1719"
"8","Granada","2845","2876","2575","2770","2128","3229","1647","3160","1821","2099","1685","2005","1435","1984","1655","2688","1135","1576","1509","1752","Granada","1501","1976","1558","2055","1635","2065","1859","2337","1929","2247","1895","2469","2319","2872","2388","2879","2699","3201","2653","2938","Granada","3044","3275","2553","3203","2391","1781","2842","3019","2927","3734","3398","4359","3723","4437","3702","4029","3471","3522","3305","Granada","2200","3278","3128","3094","2382","3358","3486","3701","3324","4281","4535","4336","4861","5350","4389","4793","4096","3784","3008","3001"
"9","Huelva","1413","1333","1147","1576","1527","1827","1104","1867","1014","1366","1149","1338","1022","1058","1015","1612","635","1087","920","983","Huelva","901","1024","915","996","925","1175","987","1131","992","1229","1024","1240","1150","1366","1233","1332","1286","2008","1447","1767","Huelva","1523","1693","1321","1641","1411","898","1629","1907","1703","2365","2101","2390","1997","2358","1913","1885","1803","1997","1792","Huelva","2987","3511","2604","2787","2657","3146","2520","2959","2890","3160","2710","2827","3128","3071","2775","2669","2291","2250","2032","1890"
"10","Jaén","1310","1414","1088","1283","1056","1398","898","1707","872","947","953","1148","869","908","705","1291","553","641","637","705","Jaén","688","786","727","1027","808","933","820","1070","975","1098","946","1193","1223","1250","1085","1295","1266","1445","1268","1311","Jaén","1410","1473","1162","1590","1148","896","1358","1655","1473","1772","1516","1803","1837","1935","1720","1774","1618","1710","1440","Jaén","2028","2355","2048","2452","1795","2318","2473","2528","2279","2470","2305","2710","3009","2887","2320","2484","2269","2280","1735","1816"
