"","X","Periodo","Índices.y.tasas","General..vivienda.nueva.y.de.segunda.mano","Comunidades.y.Ciudades.Autónomas","value"
"1",1,"2023T3","Índice","General","Nacional",150.273
"2",2,"2023T2","Índice","General","Nacional",146.583
"3",3,"2023T1","Índice","General","Nacional",143.58
"4",4,"2022T4","Índice","General","Nacional",142.666
"5",5,"2022T3","Índice","General","Nacional",143.86
"6",6,"2022T2","Índice","General","Nacional",141.433
"7",7,"2022T1","Índice","General","Nacional",138.742
"8",8,"2021T4","Índice","General","Nacional",135.291
"9",9,"2021T3","Índice","General","Nacional",133.652
"10",10,"2021T2","Índice","General","Nacional",130.937
"11",11,"2021T1","Índice","General","Nacional",127.831
"12",12,"2020T4","Índice","General","Nacional",127.179
"13",13,"2020T3","Índice","General","Nacional",128.255
"14",14,"2020T2","Índice","General","Nacional",126.799
"15",15,"2020T1","Índice","General","Nacional",126.695
"16",16,"2019T4","Índice","General","Nacional",125.32
"17",17,"2019T3","Índice","General","Nacional",126.135
"18",18,"2019T2","Índice","General","Nacional",124.175
"19",19,"2019T1","Índice","General","Nacional",122.758
"20",20,"2018T4","Índice","General","Nacional",120.954
"21",21,"2018T3","Índice","General","Nacional",120.491
"22",22,"2018T2","Índice","General","Nacional",117.941
"23",23,"2018T1","Índice","General","Nacional",114.994
"24",24,"2017T4","Índice","General","Nacional",113.457
"25",25,"2017T3","Índice","General","Nacional",112.442
"26",26,"2017T2","Índice","General","Nacional",110.41
"27",27,"2017T1","Índice","General","Nacional",108.239
"28",28,"2016T4","Índice","General","Nacional",105.848
"29",29,"2016T3","Índice","General","Nacional",105.431
"30",30,"2016T2","Índice","General","Nacional",104.601
"31",31,"2016T1","Índice","General","Nacional",102.775
"32",32,"2015T4","Índice","General","Nacional",101.305
"33",33,"2015T3","Índice","General","Nacional",101.358
"34",34,"2015T2","Índice","General","Nacional",100.687
"35",35,"2015T1","Índice","General","Nacional",96.651
"36",36,"2014T4","Índice","General","Nacional",97.194
"37",37,"2014T3","Índice","General","Nacional",97.002
"38",38,"2014T2","Índice","General","Nacional",96.805
