"","X","Periodo","Renta.anual.neta.media.por.persona.y.por.unidad.de.consumo","Edad","Sexo","value"
"1",1,2022,"Renta neta media por persona","Total","Ambos sexos",13008
"2",2,2021,"Renta neta media por persona","Total","Ambos sexos",12269
"3",3,2020,"Renta neta media por persona","Total","Ambos sexos",12292
"4",4,2019,"Renta neta media por persona","Total","Ambos sexos",11680
"5",5,2018,"Renta neta media por persona","Total","Ambos sexos",11412
"6",6,2017,"Renta neta media por persona","Total","Ambos sexos",11074
"7",7,2016,"Renta neta media por persona","Total","Ambos sexos",10708
"8",8,2015,"Renta neta media por persona","Total","Ambos sexos",10419
"9",9,2014,"Renta neta media por persona","Total","Ambos sexos",10391
"10",10,2013,"Renta neta media por persona","Total","Ambos sexos",10531
"11",11,2012,"Renta neta media por persona","Total","Ambos sexos",10795
"12",12,2011,"Renta neta media por persona","Total","Ambos sexos",10858
"13",13,2010,"Renta neta media por persona","Total","Ambos sexos",11284
"14",14,2009,"Renta neta media por persona","Total","Ambos sexos",11318
"15",15,2008,"Renta neta media por persona","Total","Ambos sexos",10737
"16",16,2022,"Renta media por unidad de consumo","Total","Ambos sexos",19160
"17",17,2021,"Renta media por unidad de consumo","Total","Ambos sexos",18103
"18",18,2020,"Renta media por unidad de consumo","Total","Ambos sexos",18116
"19",19,2019,"Renta media por unidad de consumo","Total","Ambos sexos",17287
"20",20,2018,"Renta media por unidad de consumo","Total","Ambos sexos",16937
"21",21,2017,"Renta media por unidad de consumo","Total","Ambos sexos",16390
"22",22,2016,"Renta media por unidad de consumo","Total","Ambos sexos",15842
"23",23,2015,"Renta media por unidad de consumo","Total","Ambos sexos",15408
"24",24,2014,"Renta media por unidad de consumo","Total","Ambos sexos",15405
"25",25,2013,"Renta media por unidad de consumo","Total","Ambos sexos",15635
"26",26,2012,"Renta media por unidad de consumo","Total","Ambos sexos",16119
"27",27,2011,"Renta media por unidad de consumo","Total","Ambos sexos",16280
"28",28,2010,"Renta media por unidad de consumo","Total","Ambos sexos",16922
"29",29,2009,"Renta media por unidad de consumo","Total","Ambos sexos",17042
"30",30,2008,"Renta media por unidad de consumo","Total","Ambos sexos",16190
"31",31,2022,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",15086
"32",32,2021,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",14255
"33",33,2020,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",14212
"34",34,2019,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",13549
"35",35,2018,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",13223
"36",36,2017,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",12841
"37",37,2016,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",12347
"38",38,2015,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",11992
"39",39,2014,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",12021
"40",40,2013,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",11997
"41",41,2012,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",12327
"42",42,2011,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",12483
"43",43,2010,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",12933
"44",44,2009,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",12790
"45",45,2008,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",12237
"46",46,2022,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",22054
"47",47,2021,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",20874
"48",48,2020,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",20800
"49",49,2019,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",19903
"50",50,2018,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",19479
"51",51,2017,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",18863
