"","X","Periodo","Renta.anual.neta.media.por.persona.y.por.unidad.de.consumo","Nacionalidad","value"
"1",1,2022,"Renta neta media por persona","Total",13648
"2",2,2021,"Renta neta media por persona","Total",12865
"3",3,2020,"Renta neta media por persona","Total",12932
"4",4,2019,"Renta neta media por persona","Total",12214
"5",5,2018,"Renta neta media por persona","Total",11892
"6",6,2017,"Renta neta media por persona","Total",11606
"7",7,2016,"Renta neta media por persona","Total",11223
"8",8,2015,"Renta neta media por persona","Total",10919
"9",9,2014,"Renta neta media por persona","Total",10904
"10",10,2013,"Renta neta media por persona","Total",11068
"11",11,2012,"Renta neta media por persona","Total",11297
"12",12,2011,"Renta neta media por persona","Total",11362
"13",13,2010,"Renta neta media por persona","Total",11835
"14",14,2009,"Renta neta media por persona","Total",11855
"15",15,2008,"Renta neta media por persona","Total",11251
"16",16,2022,"Renta media por unidad de consumo","Total",19487
"17",17,2021,"Renta media por unidad de consumo","Total",18416
"18",18,2020,"Renta media por unidad de consumo","Total",18478
"19",19,2019,"Renta media por unidad de consumo","Total",17517
"20",20,2018,"Renta media por unidad de consumo","Total",17089
"21",21,2017,"Renta media por unidad de consumo","Total",16645
"22",22,2016,"Renta media por unidad de consumo","Total",16082
"23",23,2015,"Renta media por unidad de consumo","Total",15645
"24",24,2014,"Renta media por unidad de consumo","Total",15672
"25",25,2013,"Renta media por unidad de consumo","Total",15935
"26",26,2012,"Renta media por unidad de consumo","Total",16356
"27",27,2011,"Renta media por unidad de consumo","Total",16537
"28",28,2010,"Renta media por unidad de consumo","Total",17236
"29",29,2009,"Renta media por unidad de consumo","Total",17343
"30",30,2008,"Renta media por unidad de consumo","Total",16511
"31",31,2022,"Renta media por persona (con alquiler imputado)","Total",15888
"32",32,2021,"Renta media por persona (con alquiler imputado)","Total",15002
"33",33,2020,"Renta media por persona (con alquiler imputado)","Total",15002
"34",34,2019,"Renta media por persona (con alquiler imputado)","Total",14224
"35",35,2018,"Renta media por persona (con alquiler imputado)","Total",13838
"36",36,2017,"Renta media por persona (con alquiler imputado)","Total",13513
"37",37,2016,"Renta media por persona (con alquiler imputado)","Total",12996
"38",38,2015,"Renta media por persona (con alquiler imputado)","Total",12620
"39",39,2014,"Renta media por persona (con alquiler imputado)","Total",12673
"40",40,2013,"Renta media por persona (con alquiler imputado)","Total",12656
"41",41,2012,"Renta media por persona (con alquiler imputado)","Total",12959
"42",42,2011,"Renta media por persona (con alquiler imputado)","Total",13112
"43",43,2010,"Renta media por persona (con alquiler imputado)","Total",13620
"44",44,2009,"Renta media por persona (con alquiler imputado)","Total",13454
"45",45,2008,"Renta media por persona (con alquiler imputado)","Total",12870
"46",46,2022,"Renta media por unidad de consumo (con alquiler imputado)","Total",22513
"47",47,2021,"Renta media por unidad de consumo (con alquiler imputado)","Total",21311
"48",48,2020,"Renta media por unidad de consumo (con alquiler imputado)","Total",21283
"49",49,2019,"Renta media por unidad de consumo (con alquiler imputado)","Total",20245
"50",50,2018,"Renta media por unidad de consumo (con alquiler imputado)","Total",19736
"51",51,2017,"Renta media por unidad de consumo (con alquiler imputado)","Total",19233
"52",52,2016,"Renta media por unidad de consumo (con alquiler imputado)","Total",18489
"53",53,2015,"Renta media por unidad de consumo (con alquiler imputado)","Total",17957
