"","Periodo","Renta.anual.neta.media.por.persona.y.por.unidad.de.consumo","Edad","Sexo","renta"
"1",2022,"Renta neta media por persona","Total","Ambos sexos",13008
"2",2021,"Renta neta media por persona","Total","Ambos sexos",12269
"3",2020,"Renta neta media por persona","Total","Ambos sexos",12292
"4",2019,"Renta neta media por persona","Total","Ambos sexos",11680
"5",2018,"Renta neta media por persona","Total","Ambos sexos",11412
"6",2017,"Renta neta media por persona","Total","Ambos sexos",11074
"7",2016,"Renta neta media por persona","Total","Ambos sexos",10708
"8",2015,"Renta neta media por persona","Total","Ambos sexos",10419
"9",2014,"Renta neta media por persona","Total","Ambos sexos",10391
"10",2013,"Renta neta media por persona","Total","Ambos sexos",10531
"11",2012,"Renta neta media por persona","Total","Ambos sexos",10795
"12",2011,"Renta neta media por persona","Total","Ambos sexos",10858
"13",2010,"Renta neta media por persona","Total","Ambos sexos",11284
"14",2009,"Renta neta media por persona","Total","Ambos sexos",11318
"15",2008,"Renta neta media por persona","Total","Ambos sexos",10737
"16",2022,"Renta media por unidad de consumo","Total","Ambos sexos",19160
"17",2021,"Renta media por unidad de consumo","Total","Ambos sexos",18103
"18",2020,"Renta media por unidad de consumo","Total","Ambos sexos",18116
"19",2019,"Renta media por unidad de consumo","Total","Ambos sexos",17287
"20",2018,"Renta media por unidad de consumo","Total","Ambos sexos",16937
"21",2017,"Renta media por unidad de consumo","Total","Ambos sexos",16390
"22",2016,"Renta media por unidad de consumo","Total","Ambos sexos",15842
"23",2015,"Renta media por unidad de consumo","Total","Ambos sexos",15408
"24",2014,"Renta media por unidad de consumo","Total","Ambos sexos",15405
"25",2013,"Renta media por unidad de consumo","Total","Ambos sexos",15635
"26",2012,"Renta media por unidad de consumo","Total","Ambos sexos",16119
"27",2011,"Renta media por unidad de consumo","Total","Ambos sexos",16280
"28",2010,"Renta media por unidad de consumo","Total","Ambos sexos",16922
"29",2009,"Renta media por unidad de consumo","Total","Ambos sexos",17042
"30",2008,"Renta media por unidad de consumo","Total","Ambos sexos",16190
"31",2022,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",15086
"32",2021,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",14255
"33",2020,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",14212
"34",2019,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",13549
"35",2018,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",13223
"36",2017,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",12841
"37",2016,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",12347
"38",2015,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",11992
"39",2014,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",12021
"40",2013,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",11997
"41",2012,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",12327
"42",2011,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",12483
"43",2010,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",12933
"44",2009,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",12790
"45",2008,"Renta media por persona (con alquiler imputado)","Total","Ambos sexos",12237
"46",2022,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",22054
"47",2021,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",20874
"48",2020,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",20800
"49",2019,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",19903
"50",2018,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",19479
"51",2017,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",18863
"52",2016,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",18137
"53",2015,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",17612
"54",2014,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",17684
"55",2013,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",17694
"56",2012,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",18268
"57",2011,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",18584
"58",2010,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",19252
"59",2009,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",19124
"60",2008,"Renta media por unidad de consumo (con alquiler imputado)","Total","Ambos sexos",18322
"61",2022,"Renta neta media por persona","Menores de 16 años","Ambos sexos",9605
"62",2021,"Renta neta media por persona","Menores de 16 años","Ambos sexos",9036
"63",2020,"Renta neta media por persona","Menores de 16 años","Ambos sexos",9025
"64",2019,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8899
"65",2018,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8919
"66",2017,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8354
"67",2016,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8078
"68",2015,"Renta neta media por persona","Menores de 16 años","Ambos sexos",7841
"69",2014,"Renta neta media por persona","Menores de 16 años","Ambos sexos",7726
"70",2013,"Renta neta media por persona","Menores de 16 años","Ambos sexos",7741
"71",2012,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8151
"72",2011,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8259
"73",2010,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8355
"74",2009,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8444
"75",2008,"Renta neta media por persona","Menores de 16 años","Ambos sexos",8005
"76",2022,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",17489
"77",2021,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",16423
"78",2020,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",16340
"79",2019,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",16094
"80",2018,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",16142
"81",2017,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",15100
"82",2016,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",14635
"83",2015,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",14166
"84",2014,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",13970
"85",2013,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",13993
"86",2012,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",14806
"87",2011,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",14957
"88",2010,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",15120
"89",2009,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",15323
"90",2008,"Renta media por unidad de consumo","Menores de 16 años","Ambos sexos",14476
"91",2022,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",10830
"92",2021,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",10203
"93",2020,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",10175
"94",2019,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",10036
"95",2018,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",10039
"96",2017,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",9410
"97",2016,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",9042
"98",2015,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",8764
"99",2014,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",8649
"100",2013,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",8596
"101",2012,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",9019
"102",2011,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",9248
"103",2010,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",9318
"104",2009,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",9272
"105",2008,"Renta media por persona (con alquiler imputado)","Menores de 16 años","Ambos sexos",8871
"106",2022,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",19701
"107",2021,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",18527
"108",2020,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",18409
"109",2019,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",18136
"110",2018,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",18147
"111",2017,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",16989
"112",2016,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",16363
"113",2015,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",15817
"114",2014,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",15620
"115",2013,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",15525
"116",2012,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",16367
"117",2011,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",16733
"118",2010,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",16851
"119",2009,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",16809
"120",2008,"Renta media por unidad de consumo (con alquiler imputado)","Menores de 16 años","Ambos sexos",16030
"121",2022,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",11660
"122",2021,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",10903
"123",2020,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",11031
"124",2019,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",10345
"125",2018,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",10156
"126",2017,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",9815
"127",2016,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",9373
"128",2015,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",8935
"129",2014,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",9004
"130",2013,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",9438
"131",2012,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",9727
"132",2011,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",10032
"133",2010,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",10651
"134",2009,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",10797
"135",2008,"Renta neta media por persona","De 16 a 29 años","Ambos sexos",10321
"136",2022,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",18019
"137",2021,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",16828
"138",2020,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",16967
"139",2019,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",15907
"140",2018,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",15514
"141",2017,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",15043
"142",2016,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",14413
"143",2015,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",13782
"144",2014,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",13829
"145",2013,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",14438
"146",2012,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",14896
"147",2011,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",15418
"148",2010,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",16306
"149",2009,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",16625
"150",2008,"Renta media por unidad de consumo","De 16 a 29 años","Ambos sexos",15918
"151",2022,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",13156
"152",2021,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",12353
"153",2020,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",12435
"154",2019,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",11666
"155",2018,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",11487
"156",2017,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",11129
"157",2016,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",10583
"158",2015,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",10091
"159",2014,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",10159
"160",2013,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",10512
"161",2012,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",10843
"162",2011,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",11256
"163",2010,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",11878
"164",2009,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",11873
"165",2008,"Renta media por persona (con alquiler imputado)","De 16 a 29 años","Ambos sexos",11390
"166",2022,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",20294
"167",2021,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",19020
"168",2020,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",19090
"169",2019,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",17897
"170",2018,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",17519
"171",2017,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",17023
"172",2016,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",16256
"173",2015,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",15545
"174",2014,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",15584
"175",2013,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",16051
"176",2012,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",16561
"177",2011,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",17246
"178",2010,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",18140
"179",2009,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",18248
"180",2008,"Renta media por unidad de consumo (con alquiler imputado)","De 16 a 29 años","Ambos sexos",17548
"181",2022,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",12974
"182",2021,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",12012
"183",2020,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",12053
"184",2019,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",11422
"185",2018,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",11397
"186",2017,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",11040
"187",2016,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",10536
"188",2015,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",10353
"189",2014,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",10348
"190",2013,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",10543
"191",2012,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",10912
"192",2011,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",11106
"193",2010,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",11480
"194",2009,"Renta neta media por persona","De 30 a 44 años","Ambos sexos",11687
